City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,cedeira,43.6797,-8.0209,46.38,75,15,11.34,ES,1704511982
297,fuglafjordur,62.244,-6.814,41.47,84,100,22.86,FO,1704511983
298,lompoc,34.6391,-120.4579,56.12,64,0,17.27,US,1704511984
299,hue,16.4667,107.6,71.71,88,75,2.3,VN,1704511984
300,sechura,-5.5569,-80.8222,74.41,78,96,12.86,PE,1704511985
301,kiruna,67.8557,20.2251,-6.68,84,44,5.75,SE,1704511952
302,kone,-21.0595,164.8658,85.35,62,65,5.35,NC,1704511986
303,isiro,2.7739,27.616,61.7,56,94,2.28,CD,1704511987
304,alapayevsk,57.8516,61.6963,-19.98,100,44,3.24,RU,1704511988
305,demba,-5.51,22.2667,68.0,99,97,0.63,CD,1704511988
306,coruripe,-10.1256,-36.1756,79.12,84,91,13.94,BR,1704511747
307,ghadamis,30.1337,9.5007,56.91,26,0,18.77,LY,1704511989
308,marsh harbour,26.5412,-77.0636,71.74,75,97,20.49,BS,1704511845
309,roccella ionica,38.322,16.4009,59.58,88,100,9.4,IT,1704511990
310,quesnel,52.9999,-122.5029,28.9,93,100,0.0,CA,1704511991
311,shanhecun,44.7,127.2,12.06,87,94,5.48,CN,1704511992
312,nikel,69.4128,30.222,-5.62,97,100,4.47,RU,1704511992
313,whangarei,-35.7317,174.3239,70.14,85,79,4.94,NZ,1704511993
314,gunjur,13.2019,-16.7339,68.07,88,0,0.0,GM,1704511994
315,flying fish cove,-10.4217,105.6791,83.88,78,40,8.05,CX,1704511994
316,kapit,2.0167,112.9333,91.38,57,99,0.67,MY,1704511995
317,las vegas,36.175,-115.1372,54.28,29,0,23.0,US,1704511995
318,pacocha,-17.5833,-71.3333,69.37,91,94,6.89,PE,1704511996
319,cafayate,-26.073,-65.9761,72.82,70,85,7.43,AR,1704511997
320,nova sintra,14.8667,-24.7167,70.81,65,0,9.62,CV,1704511997
321,khmilnyk,49.5598,27.9575,32.23,78,97,11.36,UA,1704511998
322,pacasmayo,-7.4006,-79.5714,72.37,83,100,11.1,PE,1704511998
323,egilsstadir,65.2653,-14.3948,19.31,86,0,5.75,IS,1704511999
324,yinchuan,38.4681,106.2731,24.24,28,0,4.09,CN,1704511996
325,kasempa,-13.4584,25.8338,64.15,98,100,2.68,ZM,1704512000
326,matoury,4.8483,-52.3317,80.56,83,75,5.75,GF,1704512001
327,gaalkacyo,6.7697,47.4308,67.32,65,80,10.76,SO,1704512002
328,turkmenabat,39.0733,63.5786,40.98,81,100,9.22,TM,1704512002
329,badger,64.8,-147.5333,-7.73,77,0,0.0,US,1704512003
330,palora,-1.7,-77.9333,66.61,94,91,3.33,EC,1704512003
331,lebyazh'ye,55.2689,66.4947,-12.62,99,10,4.41,RU,1704512004
332,ulladulla,-35.35,150.4667,72.46,54,0,12.68,AU,1704512005
333,mount gambier,-37.8333,140.7667,80.49,50,100,5.37,AU,1704512005
334,fortaleza,-3.7227,-38.5247,83.21,78,20,8.05,BR,1704511879
335,an nuhud,12.7,28.4333,56.07,36,87,12.91,SD,1704512007
336,bandarbeyla,9.4942,50.8122,73.94,63,52,12.5,SO,1704512007
337,syktyvkar,61.6764,50.8099,-16.1,75,20,2.24,RU,1704511793
338,port elizabeth,-33.918,25.5701,66.09,90,75,20.71,ZA,1704512008
339,hasaki,35.7333,140.8333,57.6,48,16,13.8,JP,1704512010
340,miracatu,-24.2814,-47.4597,70.86,97,74,0.81,BR,1704512011
341,quimili,-27.6333,-62.4167,79.16,49,0,13.49,AR,1704512011
342,olonkinbyen,70.9221,-8.7187,20.12,76,98,5.35,SJ,1704512012
343,taoudenni,22.6783,-3.9836,65.35,19,1,3.85,ML,1704512013
344,novo aripuana,-5.1206,-60.3797,74.48,93,98,0.4,BR,1704512013
345,vadso,70.0744,29.7487,17.76,93,100,10.36,NO,1704512014
346,mamadysh,55.7152,51.408,-10.12,100,84,3.58,RU,1704512014
347,bougouni,11.417,-7.479,74.53,15,99,4.25,ML,1704512015
348,huarmey,-10.0681,-78.1522,72.63,85,100,9.6,PE,1704512016
349,beira,-19.8436,34.8389,75.29,88,75,6.91,MZ,1704512017
350,port mathurin,-19.6833,63.4167,81.75,77,48,5.57,MU,1704512018
351,beipiao,41.7919,120.7792,21.69,45,59,11.34,CN,1704511812
352,panorama,40.5878,23.0315,52.38,79,100,1.99,GR,1704512019
353,faya-largeau,17.9257,19.1043,60.67,29,23,12.35,TD,1704512019
354,luza,60.6308,47.2512,-14.85,100,27,0.36,RU,1704512020
355,nova vicosa,-17.8919,-39.3719,75.72,95,100,4.79,BR,1704512021
356,st. john's,47.5649,-52.7093,26.15,94,100,31.07,CA,1704512021
357,padangsidempuan,1.3667,99.2667,79.34,90,100,2.08,ID,1704512022
358,ibeto,10.4854,5.145,70.84,18,3,6.08,NG,1704512023
359,magadan,59.5667,150.8,-18.47,80,0,5.95,RU,1704512023
360,tromso,69.6496,18.957,26.62,86,75,4.61,NO,1704511803
